scenario,scale,n_items,algorithm,trial,time_s
mixed_adversarial,5,90,FFD,3,0.0003784999717026949
mixed_adversarial,5,90,Knapsack,1,0.023901499982457608
mixed_adversarial,5,90,Knapsack,2,0.02380629995604977
mixed_adversarial,5,90,Knapsack,3,0.023539299960248172
mixed_adversarial,5,90,BnB,1,0.001114899991080165
mixed_adversarial,5,90,BnB,2,0.0010585000272840261
mixed_adversarial,5,90,BnB,3,0.0010535000474192202
mixed_adversarial,10,180,FirstFit,1,0.0003655000473372638
mixed_adversarial,10,180,FirstFit,2,0.00032570003531873226
mixed_adversarial,10,180,FirstFit,3,0.00032320001628249884
mixed_adversarial,10,180,BestFit,1,0.0002671999973244965
mixed_adversarial,10,180,BestFit,2,0.0002610000083222985
mixed_adversarial,10,180,BestFit,3,0.0002604000037536025
mixed_adversarial,10,180,FFD,1,0.0014248000225052238
mixed_adversarial,10,180,FFD,2,0.0014441999956034124
mixed_adversarial,10,180,FFD,3,0.0014230000087991357
mixed_adversarial,10,180,Knapsack,1,0.09638370003085583
mixed_adversarial,10,180,Knapsack,2,0.08861989999422804
mixed_adversarial,10,180,Knapsack,3,0.09011230000760406
mixed_adversarial,10,180,BnB,1,0.0035186000168323517
mixed_adversarial,10,180,BnB,2,0.0034832999808713794
mixed_adversarial,10,180,BnB,3,0.004558099957648665
